"id_recibo","folio","recibcon","si_inclu","no_inclu","no_aplic"
"943","13028","11","","","1"
"944","13016","11","","","1"
"945","20390","1","","","1"
"946","20390","2","","","1"
"947","20390","3","","","1"
"948","20390","4","","","1"
"949","20390","5","","","1"
"950","20390","6","","","1"
"951","20390","7","","","1"
"952","20390","8","","","1"
"953","20390","9","","","1"
"954","20390","10","","","1"
"955","20390","11","","","1"
"956","20390","12","","","1"
"957","15038","6","","","1"
"958","15038","7","","","1"
"959","15038","8","","","1"
"960","15038","9","","","1"
"961","15038","10","","","1"
"962","15038","11","","","1"
"963","15038","12","","","1"
"964","8058","1","","","1"
"965","8058","2","","","1"
"966","8058","3","","","1"
"967","8058","4","","","1"
"968","8058","5","","","1"
"969","8058","6","","","1"
"970","8058","7","","","1"
"971","8058","8","","","1"
"972","8058","9","","","1"
"973","8058","10","","","1"
"974","8058","11","","","1"
"975","8058","12","","","1"
"976","29054","2","","","1"
"977","29054","3","","","1"
"978","29054","4","","","1"
"979","29054","5","","","1"
"980","29054","6","","","1"
"981","29054","7","","","1"
"982","29054","8","","","1"
"983","29054","9","","","1"
"984","29054","10","","","1"
"985","29054","11","","","1"
"986","29054","12","","","1"
"987","14071","3","","","1"
"988","14071","4","","","1"
"989","14071","5","","","1"
"990","14071","6","","","1"
"991","14071","7","","","1"
"992","15027","7","","","1"
"993","16096","4","","","1"
"994","16096","5","","","1"
"995","16096","6","","","1"
"996","16096","9","","","1"
"997","16096","10","","","1"
"998","16096","11","","","1"
"999","16096","12","","","1"
"1000","16030","11","","","1"
"1001","15080","3","","","1"
"1002","15080","4","","","1"
"1003","15080","5","","","1"
"1004","15080","6","","","1"
"1005","15080","7","","","1"
"1006","15080","8","","","1"
"1007","15080","9","","","1"
"1008","15080","1","","","1"
"1009","15080","2","","","1"
"1010","15080","10","","","1"
"1011","15080","11","","","1"
"1012","15080","12","","","1"
"1013","15047","3","","","1"
"1014","15047","4","","","1"
"1015","15047","5","","","1"
"1016","15047","6","","","1"
"1017","15047","7","","","1"
"1018","15047","8","","","1"
"1019","15047","9","","","1"
"1020","15047","10","","","1"
"1021","15047","11","","","1"
"1022","15047","12","","","1"
"1023","26065","1","","","1"
"1024","26065","2","","","1"
"1025","26065","3","","","1"
"1026","26065","4","","","1"
"1027","26065","5","","","1"
"1028","26065","6","","","1"
"1029","26065","7","","","1"
"1030","26065","8","","","1"
"1031","26065","9","","","1"
"1032","26065","10","","","1"
"1033","26065","11","","","1"
"1034","26065","12","","","1"
"1035","11001","1","","","1"
"1036","11001","3","","","1"
"1037","11001","4","","","1"
"1038","11001","5","","","1"
"1039","8032","7","","","1"
"1040","30094","4","","","1"
"1041","30094","5","","","1"
"1042","24049","1","","","1"
"1043","24049","3","","","1"
"1044","24049","4","","","1"
"1045","24049","5","","","1"
"1046","24049","6","","","1"
"1047","24049","7","","","1"
"1048","24049","8","","","1"
"1049","24049","9","","","1"
"1050","24049","10","","","1"
"1051","24049","11","","","1"
"1052","4007","9","","","1"
"1053","31074","2","","","1"
"1054","31074","3","","","1"
"1055","31057","6","","","1"
"1056","31057","7","","","1"
"1057","16104","4","","","1"
"1058","16104","5","","","1"
"1059","16104","7","","","1"
"1060","16104","8","","","1"
"1061","16104","10","","","1"
"1062","16104","11","","","1"
"1063","16028","7","","","1"
"1064","20508","1","","","1"
"1065","20508","2","","","1"
"1066","20508","3","","","1"
"1067","20508","4","","","1"
"1068","20508","5","","","1"
"1069","20508","6","","","1"
"1070","20508","7","","","1"
"1071","20508","8","","","1"
"1072","20508","9","","","1"
"1073","20508","10","","","1"
"1074","20508","11","","","1"
"1075","21151","3","","","1"
"1076","21151","4","","","1"
"1077","21151","5","","","1"
"1078","21151","6","","","1"
"1079","21151","7","","","1"
"1080","21151","8","","","1"
"1081","21151","10","","","1"
"1082","21151","11","","","1"
"1083","31074","4","","","1"
"1084","20086","3","","","1"
"1085","20086","4","","","1"
"1086","20086","5","","","1"
"1087","20086","6","","","1"
"1088","20086","7","","","1"
"1089","20086","8","","","1"
"1090","20086","9","","","1"
"1091","20086","10","","","1"
"1092","20086","11","","","1"
"1093","20086","12","","","1"
"1094","20370","8","","1",""
"1095","20370","9","","1",""
"1096","20370","10","","1",""
"1097","20370","11","","1",""
"1098","20370","12","","1",""
"1099","21153","2","","","1"
"1100","21153","4","","","1"
"1101","21153","5","","","1"
"1102","21153","6","","","1"
"1103","21153","7","","","1"
"1104","21153","9","","","1"
"1105","21153","10","","","1"
"1106","21153","11","","","1"
"1107","21173","6","","","1"
"1108","21173","7","","","1"
"1109","21173","9","","","1"
"1110","21153","12","","","1"
"1111","30192","6","","","1"
