"id_dren","folio","regjurid","dr_ini_a","dr_ter_a","ini_re_a","ter_re_a","ot_publi","ot_priva","ot_socia","ambito"
"8254","19048","6","NA","NA","NA","NA","","","","1"
"8256","19049","6","NA","NA","NA","NA","","","","1"
"8258","19051","6","NA","NA","NA","NA","","","","1"
"8259","14111","1","NA","NA","NA","NA","","","","3"
"8260","14066","1","NA","NA","NA","NA","","","","1"
"8261","17029","1","NA","NA","NA","NA","","","","1"
"8262","16006","4","NA","NA","NA","NA","","","","2"
"8264","9013","1","NA","NA","NA","NA","","","","1"
"8265","9013","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8266","9014","1","NA","NA","NA","NA","","","","1"
"8267","9014","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8268","9015","1","NA","NA","NA","NA","","","","1"
"8269","9015","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8272","9017","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8273","19009","6","NA","NA","NA","NA","","","","1"
"8275","6009","4","NA","NA","NA","NA","","","","3"
"8276","21134","1","NA","NA","NA","NA","","","","2"
"8279","19017","6","NA","NA","NA","NA","","","","1"
"8280","30184","1","NA","NA","NA","NA","","","","2"
"8281","18011","4","NA","NA","NA","NA","","","","2"
"8283","26026","4","NA","NA","NA","NA","","","","3"
"8284","18016","4","NA","NA","NA","NA","","","","2"
"8285","18016","11","NA","NA","NA","NA","","","","4"
"8286","14016","4","NA","NA","NA","NA","","","","3"
"8288","19008","6","NA","NA","NA","NA","","","","1"
"8289","19044","6","NA","NA","NA","NA","","","","1"
"8290","18015","4","NA","NA","NA","NA","","","","3"
"8291","18015","3","NA","NA","NA","NA","","","","4"
"8292","14022","1","NA","NA","NA","NA","","","","3"
"8293","30185","1","NA","NA","NA","NA","","","","2"
"8295","30188","1","NA","NA","NA","NA","","","","3"
"8296","30191","1","NA","NA","NA","NA","","","","3"
"8299","14027","1","NA","NA","NA","NA","","","","1"
"8300","30198","1","NA","NA","NA","NA","","","","2"
"8301","17024","1","NA","NA","NA","NA","","","","1"
"8302","30199","1","NA","NA","NA","NA","","","","2"
"8303","14118","1","NA","NA","NA","NA","","","","3"
"8304","30200","1","NA","NA","NA","NA","","","","2"
"8305","14063","1","NA","NA","NA","NA","","","","3"
"8306","30201","1","NA","NA","NA","NA","","","","2"
"8307","32013","4","NA","NA","NA","NA","","","","3"
"8308","32036","1","NA","NA","NA","NA","","","","2"
"8309","14076","1","NA","NA","NA","NA","","","","1"
"8311","30209","1","NA","NA","NA","NA","","","","3"
"8312","32049","1","NA","NA","NA","NA","","","","2"
"8313","14007","1","NA","NA","NA","NA","","","","3"
"8314","14009","1","NA","NA","NA","NA","","","","1"
"8315","30157","1","NA","NA","NA","NA","","","","3"
"8316","19026","6","NA","NA","NA","NA","","","","1"
"8318","19030","6","NA","NA","NA","NA","","","","1"
"8319","15002","4","NA","NA","NA","NA","","","","1"
"8321","12037","1","NA","NA","NA","NA","","","","3"
"8347","18020","4","NA","NA","NA","NA","","","","3"
"8348","18012","4","NA","NA","NA","NA","","","","3"
"8349","32057","4","NA","NA","NA","NA","","","","2"
"8353","18014","4","NA","NA","NA","NA","","","","2"
"8354","18014","11","NA","NA","NA","NA","","","","4"
"8355","18017","4","NA","NA","NA","NA","","","","2"
"8356","18017","11","NA","NA","NA","NA","","","","4"
"8357","18018","4","NA","NA","NA","NA","","","","3"
"8358","18018","3","NA","NA","NA","NA","","","","4"
"8359","18019","4","NA","NA","NA","NA","","","","3"
"8360","18019","11","NA","NA","NA","NA","","","","4"
